Time: 16.526331901550293

Number of clusters: 25978
Cluster 548: 0 instances 
Cluster 549: 0 instances 
Cluster 550: 0 instances 
Cluster 551: 0 instances 
Cluster 552: 0 instances 
Cluster 553: 0 instances 
Cluster 554: 0 instances 
Cluster 555: 0 instances 
Cluster 556: 0 instances 
Cluster 557: 0 instances 
Cluster 558: 0 instances 
Cluster 559: 0 instances 
Cluster 560: 0 instances 
Cluster 561: 0 instances 
Cluster 562: 0 instances 
Cluster 563: 0 instances 
Cluster 564: 0 instances 
Cluster 565: 0 instances 
Cluster 566: 0 instances 
Cluster 567: 0 instances 
Cluster 568: 0 instances 
Cluster 569: 0 instances 
Cluster 570: 0 instances 
Cluster 571: 0 instances 
Cluster 572: 0 instances 
Cluster 573: 0 instances 
Cluster 574: 0 instances 
Cluster 575: 0 instances 
Cluster 576: 0 instances 
Cluster 577: 0 instances 
Cluster 578: 0 instances 
Cluster 579: 0 instances 
Cluster 580: 0 instances 
Cluster 581: 0 instances 
Cluster 582: 0 instances 
Cluster 583: 0 instances 
Cluster 584: 0 instances 
Cluster 585: 0 instances 
Cluster 586: 0 instances 
Cluster 587: 0 instances 
Cluster 588: 0 instances 
Cluster 589: 0 instances 
Cluster 590: 0 instances 
Cluster 591: 0 instances 
Cluster 592: 0 instances 
Cluster 593: 0 instances 
Cluster 594: 0 instances 
Cluster 595: 0 instances 
Cluster 596: 0 instances 
Cluster 597: 0 instances 
Cluster 598: 0 instances 
Cluster 599: 0 instances 
Cluster 600: 0 instances 
Cluster 601: 0 instances 
Cluster 602: 0 instances 
Cluster 603: 0 instances 
Cluster 604: 0 instances 
Cluster 605: 0 instances 
Cluster 606: 0 instances 
Cluster 607: 0 instances 
Cluster 608: 0 instances 
Cluster 609: 0 instances 
Cluster 610: 0 instances 
Cluster 611: 0 instances 
Cluster 612: 0 instances 
Cluster 613: 0 instances 
Cluster 614: 0 instances 
Cluster 615: 0 instances 
Cluster 616: 0 instances 
Cluster 617: 0 instances 
Cluster 618: 0 instances 
Cluster 619: 0 instances 
Cluster 620: 0 instances 
Cluster 621: 0 instances 
Cluster 622: 0 instances 
Cluster 623: 0 instances 
Cluster 624: 0 instances 
Cluster 625: 0 instances 
Cluster 626: 0 instances 
Cluster 627: 0 instances 
Cluster 628: 0 instances 
Cluster 629: 0 instances 
Cluster 630: 0 instances 
Cluster 631: 0 instances 
Cluster 632: 0 instances 
Cluster 633: 0 instances 
Cluster 634: 0 instances 
Cluster 635: 0 instances 
Cluster 636: 0 instances 
Cluster 637: 0 instances 
Cluster 638: 0 instances 
Cluster 639: 0 instances 
Cluster 640: 0 instances 
Cluster 641: 0 instances 
Cluster 642: 0 instances 
Cluster 643: 0 instances 
Cluster 644: 0 instances 
Cluster 645: 0 instances 
Cluster 646: 0 instances 
Cluster 647: 0 instances 
Cluster 648: 0 instances 
Cluster 649: 0 instances 
Cluster 650: 0 instances 
Cluster 651: 0 instances 
Cluster 652: 0 instances 
Cluster 653: 0 instances 
Cluster 654: 0 instances 
Cluster 655: 0 instances 
Cluster 656: 0 instances 
Cluster 657: 0 instances 
Cluster 658: 0 instances 
Cluster 659: 0 instances 
Cluster 660: 0 instances 
Cluster 661: 0 instances 
Cluster 662: 0 instances 
Cluster 663: 0 instances 
Cluster 664: 0 instances 
Cluster 665: 0 instances 
Cluster 666: 0 instances 
Cluster 667: 0 instances 
Cluster 668: 0 instances 
Cluster 669: 0 instances 
Cluster 670: 0 instances 
Cluster 671: 0 instances 
Cluster 672: 0 instances 
Cluster 673: 0 instances 
Cluster 674: 0 instances 
Cluster 675: 0 instances 
Cluster 676: 0 instances 
Cluster 677: 0 instances 
Cluster 678: 0 instances 
Cluster 679: 0 instances 
Cluster 680: 0 instances 
Cluster 681: 0 instances 
Cluster 682: 0 instances 
Cluster 683: 0 instances 
Cluster 684: 0 instances 
Cluster 685: 0 instances 
Cluster 686: 0 instances 
Cluster 687: 0 instances 
Cluster 688: 0 instances 
Cluster 689: 0 instances 
Cluster 690: 0 instances 
Cluster 691: 0 instances 
Cluster 692: 0 instances 
Cluster 693: 0 instances 
Cluster 694: 0 instances 
Cluster 695: 0 instances 
Cluster 696: 0 instances 
Cluster 697: 0 instances 
Cluster 698: 0 instances 
Cluster 699: 0 instances 
Cluster 700: 0 instances 
Cluster 701: 0 instances 
Cluster 702: 0 instances 
Cluster 703: 0 instances 
Cluster 704: 0 instances 
Cluster 705: 0 instances 
Cluster 706: 0 instances 
Cluster 707: 0 instances 
Cluster 708: 0 instances 
Cluster 709: 0 instances 
